"Table 6-2:  Emissions and Removals from Land Use, Land-Use Change, and Forestry by Gas (MMT CO2 Eq.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gas/Land-Use Category,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Wetlands Remaining Wetlands: Peatlands Remaining Peatlands,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
Settlements Remaining Settlements: Settlement Soilse,2.0 ,2.0 ,2.3 ,2.5 ,2.4 ,2.4 ,2.5 ,2.4 ,2.0 ,2.1 ,2.6 ,2.5 ,2.2 ,2.4 ,3.1 ,3.1 ,3.2 ,3.2 ,3.2 ,3.0 ,2.1 ,2.4 ,2.1 ,2.2 ,2.2 ,2.2 ,2.2 ,2.3 ,2.4 ,2.4 ,2.5 
LULUCF Carbon Stock Changea,(892.01),(900.6),(891.2),(873.0),(889.6),(860.3),(883.3),(861.5),(863.9),(860.6),(862.6),(860.4),(831.2),(857.3),(775.8),(831.1),(855.1),(818.7),(802.5),(772.5),(791.4),(836.3),(837.7),(804.5),(814.4),(748.9),(862.0),(826.7),(809.0),(760.8),(812.2)
LULUCF Emissionsg,31.4 ,30.7 ,28.8 ,28.8 ,32.1 ,28.5 ,31.2 ,28.1 ,28.6 ,32.5 ,37.4 ,31.6 ,40.7 ,36.5 ,46.3 ,41.3 ,37.9 ,42.4 ,36.0 ,38.0 ,30.4 ,35.6 ,37.8 ,37.1 ,33.0 ,48.9 ,35.4 ,45.5 ,39.8 ,30.3 ,53.2 
LULUCF Sector Net Totalh,(860.6),(869.9),(862.4),(844.2),(857.5),(831.8),(852.1),(833.4),(835.3),(828.0),(825.2),(828.8),(790.5),(820.8),(729.5),(789.8),(817.2),(776.4),(766.5),(734.5),(761.0),(800.7),(799.9),(767.4),(781.4),(700.1),(826.6),(781.2),(769.3),(730.5),(758.9)
+ Absolute value does not exceed 0.05 MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a LULUCF Carbon Stock Change is the net C stock change from the following categories: Forest Land Remaining Forest Land, Land Converted to Forest Land, Cropland Remaining Cropland, Land Converted to Cropland, Grassland Remaining Grassland, Land Converted to Grassland, Wetlands Remaining Wetlands, Land Converted to Wetlands, Settlements Remaining Settlements, and Land Converted to Settlements.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b Estimates include CH4 and N2O emissions from fires on both Forest Land Remaining Forest Land and Land Converted to Forest Land.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c Estimates include CH4 and N2O emissions from drained organic soils on both Forest Land Remaining Forest Land and Land Converted to Forest Land.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d Estimates include CH4 and N2O emissions from fires on both Grassland Remaining Grassland and Land Converted to Grassland.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e Estimates include N2O emissions from N fertilizer additions on both Forest Land Remaining Forest Land and Land Converted to Forest Land.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f Estimates include N2O emissions from N fertilizer additions on both Settlements Remaining Settlements and Land Converted to Settlements.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"g LULUCF emissions include the CH4 and N2O emissions reported for Peatlands Remaining Peatlands, Forest Fires, Drained Organic Soils, Grassland Fires, and Coastal Wetlands Remaining Coastal Wetlands; CH4 emissions from Flooded Land Remaining Flooded Land, Land Converted to Flooded Land, and Land Converted to Coastal Wetlands; and N2O emissions from Forest Soils and Settlement Soils.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h The LULUCF Sector Net Total is the net sum of all LULUCF CH4 and N2O emissions to the atmosphere plus net carbon stock changes in units of MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes: Totals may not sum due to independent rounding. Parentheses indicate net sequestration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
