Table 6-98: State breakdown of Reservoirs and Associated Inundation Area Surface Area (thousands of ha) in Land Converted to Flooded Land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Ohio,3.1,2.4,2.2,0.3,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oklahoma,19.6,18.5,17.8,17.6,17.0,14.4,7.7,7.5,4.2,3.9,3.8,3.8,3.8,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oregon,3.9,3.8,3.8,3.7,3.7,3.2,1.8,1.8,1.8,1.8,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1
Pennsylvania,3.2,2.1,1.9,1.3,1.0,0.9,0.9,0.2,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.1,0.1,0.1
Rhode Island,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Carolina,6.0,5.7,5.6,3.1,2.9,2.9,2.8,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Dakota,106.5,106.5,106.4,106.4,106.4,106.3,106.2,106.1,106.1,106.2,106.2,105.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tennessee,2.7,2.7,2.5,2.3,2.3,2.1,0.8,0.5,0.4,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
Texas,49.5,41.4,39.8,27.7,23.8,23.1,22.7,18.6,6.3,6.0,3.8,0.8,0.7,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Utah,43.0,42.8,42.8,37.4,37.2,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vermont,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Virginia,5.8,5.8,0.5,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Washington,3.0,1.6,1.2,1.2,0.8,0.8,0.8,0.8,0.8,0.8,0.7,0.7,0.7,0.7,0.7,0.2,0.2,0.2,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Virginia,2.9,2.4,2.4,2.4,2.4,2.4,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wisconsin,1.9,1.6,1.2,1.2,1.3,1.3,1.3,0.7,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wyoming,9.1,9.1,9.1,8.1,8.1,8.1,8.0,8.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,750,689.1,658.5,615.3,552.4,521.7,506.5,480.4,409.9,385.2,377.0,237.1,114.0,107.8,79.3,78.5,75.6,72.4,33.1,26.9,26.6,25.2,27.0,25.7,25.2,76.8,76.7,75.3,75,74.5,74.3
"Note: Alaska, Hawaii, and U.S. Territories are not included.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
