Table 9-1:  Revisions to U.S. Greenhouse Gas Emissions (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Average Annual Change
,Coal Mining,4.6*,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,4.2*,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,2.8*,3.1*,3.1*,3.0*,4.0*
,International Bunker Fuelsa,0.2,0.2 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1,0.1,0.1,0.1,0.1
,"Wood Biomass, Ethanol, and Biodiesel Consumptionb",NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0.2,0.4,0.2,1,0.1
,CH4c,3.9,4.4 ,5.4 ,4.3 ,4.5 ,5.5 ,6.2 ,6.6 ,7.8 ,9.4 ,10.5 ,11.6 ,11.4 ,11.1 ,11.7 ,11.3,12.5 ,12.4 ,13.6 ,12.8 ,13.2 ,13.6 ,16.4 ,15.7 ,15.0 ,15.2 ,15.2,15.4,15.2,9.1,10.7
,Stationary Combustion,+,(+),+,+,(+),(+),(+),(+),+,+,+,+,+,(+),(+),(+),(+),(+),(+),(+),(+),+,(+),+,(+),(+),+,+,+,0.1,+
,Mobile Combustion,0.1,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1,+,+,0.1,0.1
,Coal Mining,NC,+,+,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,+,(+),NC,NC,NC,NC,NC,NC,NC,+
,Abandoned Underground Coal Mines,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,Natural Gas Systems,8.5* ,8.9 ,9.4 ,6.6 ,7.3 ,8.2 ,8.2 ,8.9 ,10.3 ,11.8 ,13.0 ,14.2 ,13.9 ,13.6 ,13.9 ,13.3* ,14.4 ,14.6 ,15.3 ,15.1 ,15.3 ,14.7 ,16.9 ,16.3 ,16.6 ,17.5 ,17.9* ,17.8* ,19.2* ,14.5* ,13.2* 
,Petroleum Systems,-1.1,(0.9),(0.4),1.3 ,0.9 ,1.1 ,1.6 ,1.5 ,1.5 ,1.6 ,1.2 ,1.3 ,1.3 ,1.4 ,1.7 ,1.9,2.0 ,1.8 ,2.2 ,1.9 ,2.2 ,2.9 ,3.5 ,3.1 ,2.9 ,1.7 ,1.2,1.2,1.3,1.3,1.5
,Abandoned Oil and Gas Wells,-0.3,(0.3),(0.3),(0.3),(0.3),(0.3),(0.3),(0.3),(0.3),(0.3),(0.3),(0.3),(0.3),(0.3),(0.3),-0.4,(0.4),(0.4),(0.4),(0.4),(0.4),(0.4),(0.5),(0.5),(0.5),(0.5),-0.5,-0.3,-0.3,0.4,-0.3
,Petrochemical Production,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,(+),(+)
,Carbide Production and Consumption,(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,(+)
,Iron and Steel Production & Metallurgical Coke Production,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,Ferroalloy Production,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,Enteric Fermentation,-1.2,(1.2),(1.2),(1.2),(1.3),(1.3),(1.2),(1.2),(1.3),(1.2),(1.2),(1.2),(1.2),(1.2),(1.2),-1.3,(1.2),(1.3),(1.3),(1.3),(1.4),(1.2),(1.1),(1.0),(1.6),(0.9),-0.9,-0.9,-2.3,-2.4,-1.3
